459: 1	472	0.295857
460: 0	836	0.296694
461: 1	452	0.297146
462: 0	794	0.297941
463: 1	521	0.298463
464: 0	787	0.299250
465: 1	527	0.299778
466: 0	771	0.300550
467: 1	517	0.301067
468: 0	792	0.301859
469: 1	497	0.302357
470: 0	790	0.303148
471: 1	524	0.303672
472: 0	785	0.304458
473: 1	504	0.304962
474: 0	794	0.305757
475: 1	522	0.306280
476: 0	776	0.307056
477: 1	511	0.307568
478: 0	798	0.308366
479: 1	517	0.308884
480: 0	728	0.309612
481: 1	560	0.310172
482: 0	812	0.310985
483: 1	477	0.311463
484: 0	821	0.312285
485: 1	494	0.312779
486: 0	762	0.313541
487: 1	525	0.314067
488: 0	783	0.314851
489: 1	505	0.315356
490: 0	815	0.316172
491: 1	499	0.316672
492: 0	778	0.317450
493: 1	513	0.317964
494: 0	827	0.318791
495: 1	512	0.319303
496: 0	777	0.320080
497: 1	540	0.320621
498: 0	789	0.321411
499: 1	525	0.321937
500: 0	794	0.322731
501: 1	521	0.323252
502: 0	788	0.324041
503: 1	526	0.324567
504: 0	773	0.325340
505: 1	516	0.325856
506: 0	772	0.326629
507: 1	518	0.327147
508: 0	791	0.327938
509: 1	498	0.328436
510: 0	758	0.329195
511: 1	557	0.329752
512: 0	784	0.330536
513: 1	505	0.331042
514: 0	783	0.331825
515: 1	504	0.332330
516: 0	783	0.333114
517: 1	505	0.333619
518: 0	729	0.334349
519: 1	560	0.334910
520: 0	727	0.335638
521: 1	560	0.336199
522: 0	769	0.336969
523: 1	521	0.337490
524: 0	767	0.338257
525: 1	520	0.338778
526: 0	789	0.339567
527: 1	501	0.340068
528: 0	787	0.340856
529: 1	501	0.341357
530: 0	819	0.342176
531: 1	470	0.342646
532: 0	818	0.343465
533: 1	472	0.343937
534: 0	816	0.344753
535: 1	473	0.345226
536: 0	815	0.346042
537: 1	473	0.346516
538: 0	793	0.347309
539: 1	493	0.347803
540: 0	815	0.348619
541: 1	527	0.349146
542: 0	729	0.349876
543: 1	560	0.350436
544: 0	780	0.351217
545: 1	509	0.351727
546: 0	736	0.352463
547: 1	551	0.353015
548: 0	737	0.353752
549: 1	552	0.354305
550: 0	767	0.355072
551: 1	522	0.355595
552: 0	787	0.356382
553: 1	500	0.356883
554: 0	766	0.357650
555: 1	524	0.358174
556: 0	733	0.358907
557: 1	581	0.359488
558: 0	760	0.360248
559: 1	504	0.360753
560: 0	762	0.361515
561: 1	525	0.362041
562: 0	763	0.362804
563: 1	527	0.363331
564: 0	792	0.364124
565: 1	496	0.364620
566: 0	792	0.365413
567: 1	497	0.365911
568: 0	790	0.366701
569: 1	497	0.367199
570: 0	770	0.367969
